date,store,category,sales
2023-02-01,Store_B,Electronics,5189
2023-03-01,Store_B,Electronics,6845
2023-04-01,Store_B,Electronics,4239
2023-05-01,Store_B,Electronics,7216
2023-06-01,Store_B,Electronics,9277
2023-07-01,Store_B,Electronics,7361
2023-08-01,Store_B,Electronics,3987
2023-09-01,Store_B,Electronics,5141
2023-10-01,Store_B,Electronics,10012
2023-11-01,Store_B,Electronics,5211
2023-12-01,Store_B,Electronics,10015
2022-01-01,Store_B,Clothing,5203
2022-02-01,Store_B,Clothing,4069
2022-03-01,Store_B,Clothing,9338
2022-04-01,Store_B,Clothing,4072
2022-05-01,Store_B,Clothing,3180
2022-06-01,Store_B,Clothing,5074
2022-07-01,Store_B,Clothing,9779
2022-08-01,Store_B,Clothing,9320
2022-09-01,Store_B,Clothing,8384
2022-10-01,Store_B,Clothing,3267
2022-11-01,Store_B,Clothing,3266
2022-12-01,Store_B,Clothing,8225
2023-01-01,Store_B,Clothing,2795
2023-02-01,Store_B,Clothing,4786
2023-03-01,Store_B,Clothing,5219
2023-04-01,Store_B,Clothing,4342
2023-05-01,Store_B,Clothing,3956
2023-06-01,Store_B,Clothing,2911
2023-07-01,Store_B,Clothing,5063
2023-08-01,Store_B,Clothing,3351
2023-09-01,Store_B,Clothing,8283
2023-10-01,Store_B,Clothing,9356
2023-11-01,Store_B,Clothing,4752
2023-12-01,Store_B,Clothing,4442
2022-01-01,Store_B,Groceries,9399
2022-02-01,Store_B,Groceries,6479
2022-03-01,Store_B,Groceries,2332
2022-04-01,Store_B,Groceries,6488
2022-05-01,Store_B,Groceries,6669
2022-06-01,Store_B,Groceries,4113
2022-07-01,Store_B,Groceries,7829
2022-08-01,Store_B,Groceries,7762
2022-09-01,Store_B,Groceries,8645
2022-10-01,Store_B,Groceries,3203
2022-11-01,Store_B,Groceries,6491
2022-12-01,Store_B,Groceries,6830
2023-01-01,Store_B,Groceries,5407
2023-02-01,Store_B,Groceries,4561
2023-03-01,Store_B,Groceries,6858
2023-04-01,Store_B,Groceries,1982
2023-05-01,Store_B,Groceries,6733
2023-06-01,Store_B,Groceries,5471
2023-07-01,Store_B,Groceries,2937
2023-08-01,Store_B,Groceries,8656
2023-09-01,Store_B,Groceries,3389
2023-10-01,Store_B,Groceries,7775
2023-11-01,Store_B,Groceries,7214
2023-12-01,Store_B,Groceries,5302
2022-01-01,Store_C,Electronics,6954
2022-02-01,Store_C,Electronics,8942
2022-03-01,Store_C,Electronics,1794
2022-04-01,Store_C,Electronics,7187
2022-05-01,Store_C,Electronics,3529
2022-06-01,Store_C,Electronics,4830
2022-07-01,Store_C,Electronics,5586
2022-08-01,Store_C,Electronics,6658
2022-09-01,Store_C,Electronics,8675
2022-10-01,Store_C,Electronics,7014
2022-11-01,Store_C,Electronics,4301
2022-12-01,Store_C,Electronics,4286
2023-01-01,Store_C,Electronics,5083
2023-02-01,Store_C,Electronics,9876
2023-03-01,Store_C,Electronics,2331
2023-04-01,Store_C,Electronics,3597
2023-05-01,Store_C,Electronics,3892
2023-06-01,Store_C,Electronics,5802
2023-07-01,Store_C,Electronics,3389
2023-08-01,Store_C,Electronics,5100
2023-09-01,Store_C,Electronics,9373
2023-10-01,Store_C,Electronics,9333
2023-11-01,Store_C,Electronics,5959
2023-12-01,Store_C,Electronics,9554
2022-01-01,Store_C,Clothing,8025
2022-02-01,Store_C,Clothing,6193
2022-03-01,Store_C,Clothing,6556
2022-04-01,Store_C,Clothing,2923
2022-05-01,Store_C,Clothing,8292
2022-06-01,Store_C,Clothing,3806
2022-07-01,Store_C,Clothing,4509
2022-08-01,Store_C,Clothing,6521
2022-09-01,Store_C,Clothing,2162
2022-10-01,Store_C,Clothing,2534
2022-11-01,Store_C,Clothing,7566
2022-12-01,Store_C,Clothing,5544
2023-01-01,Store_C,Clothing,7037
2023-02-01,Store_C,Clothing,7769
2023-03-01,Store_C,Clothing,3095
2023-04-01,Store_C,Clothing,3288
2023-05-01,Store_C,Clothing,10697
2023-06-01,Store_C,Clothing,1867
2023-07-01,Store_C,Clothing,7787
2023-08-01,Store_C,Clothing,5100
2023-09-01,Store_C,Clothing,4743
2023-10-01,Store_C,Clothing,9602
2023-11-01,Store_C,Clothing,4417
2023-12-01,Store_C,Clothing,3784
2022-01-01,Store_C,Groceries,2001
2022-02-01,Store_C,Groceries,7444
2022-03-01,Store_C,Groceries,8129
2022-04-01,Store_C,Groceries,5959
2022-05-01,Store_C,Groceries,2950
2022-06-01,Store_C,Groceries,8088
2022-07-01,Store_C,Groceries,6161
2022-08-01,Store_C,Groceries,2206
2022-09-01,Store_C,Groceries,4464
2022-10-01,Store_C,Groceries,3441
2022-11-01,Store_C,Groceries,8214
2022-12-01,Store_C,Groceries,5334
2023-01-01,Store_C,Groceries,5402
2023-02-01,Store_C,Groceries,3548
2023-03-01,Store_C,Groceries,6264
2023-04-01,Store_C,Groceries,6961
2023-05-01,Store_C,Groceries,4693
2023-06-01,Store_C,Groceries,5246
2023-07-01,Store_C,Groceries,7757
2023-08-01,Store_C,Groceries,7634
2023-09-01,Store_C,Groceries,10583
2023-10-01,Store_C,Groceries,6599
2023-11-01,Store_C,Groceries,8092
2023-12-01,Store_C,Groceries,6176
